id,title,authors,year,venue,search_string,v1_decision,v1_reason
164,From interaction to evolution: A behavior-driven framework for automated software requirements elicitation,Tong Li|Chaoqun Wen|Xinran Zhang,2026,Automated Software Engineering,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
165,Anthropomorphic Behaviors of AI,Amir Karami|Christoph Lutz|Mohammad Hossein Jarrahi,2026,SSRN Electronic Journal,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
166,GIFT: A Framework Towards Global Interpretable Faithful Textual Explanations of Vision Classifiers,Éloi Zablocki|Valentin Gerard|Amaia Cardiel|Éric Gaussier|Matthieu Cord|Eduardo Valle,2024,arXiv (Cornell University),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
167,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,Sanderson Oliveira de Macedo|Ronaldo Martins da Costa,2026,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
168,"Hospitals, Helpdesks, Codebases, and Beyond: One LLM Collapse Law Across Domains",Rogério Figurelli,2026,Zenodo (CERN European Organization for Nuclear Research),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
169,Conflict-Free Policy Languages for Probabilistic ML Predicates: A Framework and Case Study with the Semantic Router DSL,X Liu|Hao Wu|Huamin Chen|Bowei He|Xue Liu,2026,arXiv (Cornell University),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
170,GuruAgents: Emulating Wise Investors with Prompt-Guided LLM Agents,Yejin Kim|Youngbin Lee|Juhyeong Kim|Yongjae Lee,2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
171,ReThermal: Co-Design of Thermal-Aware Static and Dynamic Scheduling for LLM Training on Liquid-Cooled Wafer-Scale Chips,Chengran Li|Huizheng Wang|Jiaxin Liu|Jingyao Liu|Zhiheng Yue|Xia Li|Shenfei Jiang|Jinyi Deng|Yuanming Hu|Shouyi Yin,2026,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
172,mrilikecoding/llm-orc: Release v0.15.3,Nate Green,2026,Zenodo (CERN European Organization for Nuclear Research),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
173,TodyComm: Task-Oriented Dynamic Communication for Multi-Round LLM-based Multi-Agent System,Wenzhe Fan|Tommaso Tognoli|Henry Peng Zou|Chunyu Miao|Yibo Wang|Xinhua Zhang,2026,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
174,Enterprise-Grade Test Case Generation Framework Combining Retrieval-Augmented Generation with Multi-Modal Requirement Analysis,Amrutha Solomon Leon B. Samuel,2026,Zenodo (CERN European Organization for Nuclear Research),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
175,Modeling and learning human behavior in human-centric cyber-physical systems,Zhiqing Hong,2026,Rutgers University Community Repository (Rutgers University),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
176,Special issues on emerging technologies and their importance for software and systems processes,Xiwei Xu|Jens Heidrich,2024,Journal of Software Evolution and Process,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
177,Persona Cascade Saturation and Attractor Collapse in Public AI Deployment,Trent Slade,2026,Open MIND,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
178,Affective Theory of Mind: Physiologically-Informed Mental State Inference for Human-Machine Teaming,Armed Forces Communications and Electronics Association 2026|Nigel Doering,2026,Underline Science Inc.,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
